text,label,target_ident
I hate women. ,1,women
I hate trans people. ,1,trans people
I hate gay people. ,1,gay people
I hate black people. ,1,black people
I hate disabled people. ,1,disabled people
I hate Muslims. ,1,Muslims
I hate immigrants. ,1,immigrants
I really can't stand women like you. ,1,women
I really can't stand trans people like you. ,1,trans people
I really can't stand gay people like you. ,1,gay people
I really can't stand black people like you. ,1,black people
I really can't stand disabled people like you. ,1,disabled people
I really can't stand Muslims like you. ,1,Muslims
I really can't stand immigrants like you. ,1,immigrants
I despise women. ,1,women
I despise trans people. ,1,trans people
I despise gay people. ,1,gay people
I despise black people. ,1,black people
I despise disabled people. ,1,disabled people
I despise Muslims. ,1,Muslims
I despise immigrants. ,1,immigrants
I detest women. ,1,women
I detest trans people. ,1,trans people
I detest gay people. ,1,gay people
I detest black people. ,1,black people
I detest disabled people. ,1,disabled people
I detest Muslims. ,1,Muslims
I detest immigrants. ,1,immigrants
I absolutely loathe women. ,1,women
I absolutely loathe trans people. ,1,trans people
I absolutely loathe gay people. ,1,gay people
I absolutely loathe black people. ,1,black people
I absolutely loathe disabled people. ,1,disabled people
I absolutely loathe Muslims. ,1,Muslims
I absolutely loathe immigrants. ,1,immigrants
Disgusted by all the women around here. ,1,women
Disgusted by all the trans people around here. ,1,trans people
Disgusted by all the gay people around here. ,1,gay people
Disgusted by all the black people around here. ,1,black people
Disgusted by all the disabled people around here. ,1,disabled people
Disgusted by all the Muslims around here. ,1,Muslims
Disgusted by all the immigrants around here. ,1,immigrants
I have so much disdain for these women. ,1,women
I have so much disdain for these trans people. ,1,trans people
I have so much disdain for these gay people. ,1,gay people
I have so much disdain for these black people. ,1,black people
I have so much disdain for these disabled people. ,1,disabled people
I have so much disdain for these Muslims. ,1,Muslims
I have so much disdain for these immigrants. ,1,immigrants
I have so much hatred for you women. ,1,women
I have so much hatred for you trans people. ,1,trans people
I have so much hatred for you gay people. ,1,gay people
I have so much hatred for you black people. ,1,black people
I have so much hatred for you disabled people. ,1,disabled people
I have so much hatred for you Muslims. ,1,Muslims
I have so much hatred for you immigrants. ,1,immigrants
So sick of being around women like you. ,1,women
So sick of being around trans people like you. ,1,trans people
So sick of being around gay people like you. ,1,gay people
So sick of being around black people like you. ,1,black people
So sick of being around disabled people like you. ,1,disabled people
So sick of being around Muslims like you. ,1,Muslims
So sick of being around immigrants like you. ,1,immigrants
I feel nothing but contempt for women. ,1,women
I feel nothing but contempt for trans people. ,1,trans people
I feel nothing but contempt for gay people. ,1,gay people
I feel nothing but contempt for black people. ,1,black people
I feel nothing but contempt for disabled people. ,1,disabled people
I feel nothing but contempt for Muslims. ,1,Muslims
I feel nothing but contempt for immigrants. ,1,immigrants
These women disgust me so much. ,1,women
These trans people disgust me so much. ,1,trans people
These gay people disgust me so much. ,1,gay people
These black people disgust me so much. ,1,black people
These disabled people disgust me so much. ,1,disabled people
These Muslims disgust me so much. ,1,Muslims
These immigrants disgust me so much. ,1,immigrants
Women are the absolute worst. ,1,women
Trans people are the absolute worst. ,1,trans people
Gay people are the absolute worst. ,1,gay people
Black people are the absolute worst. ,1,black people
